,Id,Sentiment,Instagram Comment Text,label,clean_teks
0,1,negative, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,-1,tolol hubung gugur dgn pake hijab syar i lo bilang bayi panas dalem hubung woyyyy otak jempol lo singkron sih nulis komentar
1,2,negative,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,-1,geblek lo tata cowo bgt bain hadeww ntar tinggal lg nyalahin cowo kitenya oon
2,3,negative,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,-1,kmrn mewek skr lengket lg duhhh labil bgt sih mbak kya abege ajah ato kmrn cari sensasi biar top markotoppp ertong gk kualitas
3,4,negative,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",-1,inti kesel att gausah anak kasi kembang psikis anak orang bener bener tolol skrg anak anak dikatain orang benci gimana asa benci orang tau batesnya nama manusia gaakan suka haters
4,5,negative,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",-1,hadewwwww permpuan lg sakit jiwa knp peran utama film hantu jeruk purut ky khabis stok artis ja
5,6,negative,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",-1,pantesan tinggalin laki laki mikir kali perempuan kayagni ngurus becus gimana ngurus anak mending anak bapake bener didik
6,7,negative,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",-1,balajaer nyampah d ig artis suka ig bikin caption balajaer heboh asik ceramahin ig tar d bikinin lagu teh melly loh balajaer judul balajaer sabda seonggak koin laknat balajaer ngamuk arti iya banget koin laknat goda d rt gigi duh elah balajaer smua tau kale laku biduan lo kek minus d bela mati pd sakit jiwa
7,8,negative,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,-1,krn rakyat indonesia bodoh tdk beda buruk sdh tau prilaku buruk tdk tau sopan santun pilih panutan idola murah dr pd kelas ber etika
8,9,negative,ayu janda bego pny suami kpn nikah laginya?,-1,ayu janda bego pny suami kpn nikah
9,10,negative,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",-1,anyiennnnggg suara ancur banget merdu tukang goreng
10,11,negative,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",-1,syarat sah nikah agama islam cpp cpw saksi wali nikah mas kawin mahar perkara makeup manglingi syarat sah nikah makeup syarat penuh nikah sah yak emak emak julids
11,12,negative,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",-1,cewek gatau nih ngerebut pacar org udh abang ngedukung sifat jelek lg ckck
12,13,negative, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,-1,eh situ kids jaman now micin mna ngina bego pelihara
13,14,negative,Jijik liatnya suer deh minceeee,-1,jijik liat suer deh minceeee
